id	key	name_cn	name_en	type	rarity	elixir	arena	icon	sprite_dir	deploy_fx
26010001	knight	骑士	Knight	0	0	3	0	card_knight	chr_knight_out	
26010002	archers	弓箭手	Archers	0	0	3	0	card_archers	chr_archer_out	
26010003	goblins	哥布林	Goblins	0	0	2	1	card_goblins	chr_goblin_out	
26010004	spear-goblins	哥布林投矛手	Spear Goblins	0	0	2	1	card_spear-goblins	chr_goblin_out	
26010005	giant	巨人	Giant	0	1	5	0	card_giant	chr_giant_out	
26010006	pekka	皮卡超人	P.E.K.K.A	0	2	7	6	card_pekka	chr_pekka_out	
26010007	minions	亡灵	Minions	0	0	3	0	card_minions	chr_minion_out	
26010008	minion-horde	亡灵大军	Minion Horde	0	0	5	10	card_minion-horde	chr_minion_out	
26010009	balloon	气球兵	Balloon	0	2	5	7	card_balloon	chr_balloon_out	
26010010	witch	女巫	Witch	0	2	5	6	card_witch	chr_witch_out	
26010011	barbarians	野蛮人	Barbarians	0	0	5	3	card_barbarians	chr_barbarian_out	
26010012	skeletons	骷髅兵	Skeletons	0	0	1	2	card_skeletons	chr_skeleton_out	
26010013	skeleton-army	骷髅军团	Skeleton Army	0	2	3	6	card_skeleton-army	chr_skeleton_out	
26010014	valkyrie	瓦基丽武神	Valkyrie	0	1	4	2	card_valkyrie	chr_valkyrie_out	
26010015	bomber	炸弹兵	Bomber	0	0	2	2	card_bomber	chr_bomber_out	
26010016	musketeer	火枪手	Musketeer	0	1	4	0	card_musketeer	chr_musketeer_out	
26010017	baby-dragon	飞龙宝宝	Baby Dragon	0	2	4	6	card_baby-dragon	chr_baby_dragon_out	
26010018	prince	王子	Prince	0	2	5	7	card_prince	chr_prince_out	
26010019	wizard	法师	Wizard	0	1	5	4	card_wizard	chr_wizard_out	
26010020	mini-pekka	迷你皮卡	Mini P.E.K.K.A	0	1	4	0	card_mini-pekka	chr_mini_pekka_out	
26010021	giant-skeleton	骷髅巨人	Giant Skeleton	0	2	6	8	card_giant-skeleton	chr_giant_skeleton_out	
26010022	hog-rider	野猪骑士	Hog Rider	0	1	4	5	card_hog-rider	chr_hog_rider_out	
26010023	ice-wizard	寒冰法师	Ice Wizard	0	3	3	12	card_ice-wizard	chr_ice_wizard_out	
26010024	royal-giant	皇家巨人	Royal Giant	0	0	6	7	card_royal-giant	chr_royal_giant_out	
26010025	princess	公主	Princess	0	3	3	11	card_princess	chr_princess_out	
26010026	dark-prince	黑暗王子	Dark Prince	0	2	4	7	card_dark-prince	chr_prince_out	
