# CR-R1 ruling-B impact audit -- generated by .ai-tmp/test/cr-r1-impact.ps1 at 2026-09-23 09:45:20
# AS-OF      = 2026-09-23 09:45:20   (every verdict below is reached as of this instant)
# JUDGED     = client\Library\ScriptAssemblies\CR.dll  mtime=2026-09-23 08:43:53  size=327168
# ASSEMBLY   = sha256 52358CB6966C259FAE957467A34BC7E553764A85354C8CE4A17F3DFF8FA92861
# three criteria IN ORDER: 1 mapping false positive? -> 2 does tonight's assembly change this frame? -> 3 else capture
# SCOPE      = verdicts judge "does this artefact need re-capturing", NOT "is the row conclusion still true on this assembly"
# cols: evidence-file	area	verdict	reason
.ai-tmp/screenshots/ui_arena_out_p01_f000-099.png	arena	NOT-NEEDED(criterion 1: heuristic false positive)	shows exported frames of the ORIGINAL game art (cited by the original-UI asset index), not our renderer; matched ArenaView.cs only because the name contains "arena"
.ai-tmp/screenshots/ui_arena_out_p02_f100-153.png	arena	NOT-NEEDED(criterion 1: heuristic false positive)	same as p01: a reference-asset export, not our renderer
.ai-tmp/screenshots/T2-boot-splash-b.png	boot	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED BootPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/Y2-login.png	login	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED LoginPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AI2-15-backmenu.png	menu	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED MainMenuPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AI2-04-roomlist.png	room	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED RoomListPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AL3-shots\AL3-long-Login.png	login	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED LoginPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AL3-shots\AL3-busy-Login.png	login	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED LoginPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AL3-shots\AL3-busy-Nickname.png	nick	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED NicknamePanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AL3-shots\AL3-pause.png	pause	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED PausePanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AL3-shots\AL3-roomlist-long.png	room	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED RoomListPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AO1-mainmenu-compare.png	menu	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED MainMenuPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/V6-boot-brand.png	boot	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED BootPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/T2-boot-splash.png	boot	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED BootPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AL3-shots\AL3-long-Room.png	room	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED RoomListPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AP1-roomlist-mine.png	room	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED RoomListPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AP1-room-mine.png	room	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED RoomListPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AP1-roomlist-compare.png	room	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED RoomListPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AP1-room-compare.png	room	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED RoomListPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AQ2-pause-compare.png	pause	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED PausePanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AQ2-result-compare.png	result	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED ResultPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AQ1-mainmenu-compare.png	menu	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED MainMenuPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AJ2-longnick.png	longnick	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED MainMenuPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AN1-result.png	result	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED ResultPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AQ2-result-mine.png	result	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED ResultPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AO1-nickname.png	nick	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED NicknamePanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AD1-pause-btn-after.png	pause	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED PausePanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AQ2-pause-mine.png	pause	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED PausePanel.cs is not among the 6 changed files
.ai-tmp/screenshots/AE1-result-mine.png	result	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED ResultPanel.cs is not among the 6 changed files
.ai-tmp/screenshots/T3-flow-before-after.png	flow	NOT-NEEDED(criterion 2: tonight's change does not alter this frame)	UNAFFECTED UnitView.cs is not among the 6 changed files

# TALLY over the 30 cited stale rows: criterion-1 false positive = 2 ; criterion-2 unaffected = 28 ; still-to-capture = 0 ; needed-and-already-done = 0
