f006 water band per-row profile   x=160..1080 step 4   (ArenaView.cs:26 water (152,808)-(1084,852))
   y     mean RGB            opaque  class
  796   (162, 187, 75)         206     GRASS/green
  797   (160, 186, 74)         206     GRASS/green
  798   (158, 184, 73)         206     GRASS/green
  799   (158, 184, 73)         206     GRASS/green
  800   (160, 186, 74)         206     GRASS/green
  801   (161, 186, 75)         206     GRASS/green
  802   (162, 187, 75)         206     GRASS/green
  803   (162, 187, 76)         206     GRASS/green
  804   (162, 188, 75)         206     GRASS/green
  805   (4, 136, 147)          231     WATER
  806   (4, 128, 137)          231     WATER
  807   (4, 129, 139)          231     WATER
  808   (4, 128, 138)          231     WATER
  809   (4, 128, 139)          231     WATER
  810   (4, 129, 139)          231     WATER
  811   (4, 129, 140)          231     WATER
  812   (4, 129, 141)          231     WATER
  813   (4, 130, 141)          231     WATER
  814   (4, 130, 143)          231     WATER
  815   (4, 131, 144)          231     WATER
  816   (4, 132, 146)          231     WATER
  817   (4, 133, 148)          231     WATER
  818   (4, 134, 150)          231     WATER
  819   (4, 135, 152)          231     WATER
  820   (4, 136, 155)          231     WATER
  821   (4, 137, 157)          231     WATER
  822   (4, 138, 159)          231     WATER
  823   (4, 140, 162)          231     WATER
  824   (3, 142, 167)          231     WATER
  825   (4, 146, 173)          231     WATER
  826   (4, 150, 178)          231     WATER
  827   (4, 154, 183)          231     WATER
  828   (4, 156, 186)          231     WATER
  829   (4, 158, 188)          231     WATER
  830   (4, 159, 190)          231     WATER
  831   (4, 159, 191)          231     WATER
  832   (4, 160, 192)          231     WATER
  833   (4, 160, 192)          231     WATER
  834   (4, 161, 193)          231     WATER
  835   (4, 161, 194)          231     WATER
  836   (4, 162, 194)          231     WATER
  837   (4, 163, 195)          231     WATER
  838   (4, 163, 197)          231     WATER
  839   (4, 164, 197)          231     WATER
  840   (4, 164, 197)          231     WATER
  841   (4, 165, 198)          231     WATER
  842   (3, 165, 198)          231     WATER
  843   (0, 164, 201)          231     WATER
  844   (0, 164, 202)          231     WATER
  845   (0, 164, 202)          231     WATER
  846   (0, 165, 202)          231     WATER
  847   (0, 165, 203)          231     WATER
  848   (0, 165, 203)          231     WATER
  849   (0, 165, 203)          231     WATER
  850   (0, 166, 204)          231     WATER
  851   (0, 167, 206)          231     WATER
  852   (0, 94, 116)           231     WATER
  853   (162, 187, 74)         200     GRASS/green
  854   (162, 187, 74)         200     GRASS/green
  855   (162, 187, 74)         200     GRASS/green
  856   (161, 187, 74)         200     GRASS/green
  857   (162, 187, 75)         200     GRASS/green
  858   (162, 187, 75)         200     GRASS/green
  859   (163, 188, 74)         200     GRASS/green
  860   (162, 188, 75)         200     GRASS/green
  861   (163, 188, 74)         200     GRASS/green
  862   (162, 187, 75)         200     GRASS/green
  863   (162, 187, 74)         200     GRASS/green
  864   (162, 187, 75)         200     GRASS/green
  865   (162, 187, 74)         200     GRASS/green

  contiguous classes inside/around the band:
    y796..804  (9px)  GRASS/green
    y805..852  (48px)  WATER
    y853..865  (13px)  GRASS/green

  rows 805..852 (the registered 47px band): 48 rows, of which WATER=48, non-water=0
  => if non-water==0 the band is PURE WATER, so next round's (b) has NO in-package bank
     pixels and must NOT be implemented by inventing pixels.  Numbers decide, not this line.
