# CR-V1 same-basename census  --  MACHINE-GENERATED DERIVATIVE, NOT evidence; regenerate:
#   python tools/probes/cr-v1-samename-pairs.py
# tool    = tools/probes/cr-v1-samename-pairs.py  sha256_16=5300800FF778F927  bytes=9603  mtime=2026-09-23 13:39:18
# AS-OF   = 2026-09-23 13:39:27
# roots   = tools/probes,.ai-tmp/test,.ai-tmp/drivers,.ai-tmp/hosts
# ext     = .cs,.py,.ps1,.txt,.tsv,.json,.md,.dll
# subject = scanned=1846  multi_member_groups=32  DIFFERENT=13  SAME=19
# READING RULE: 'DIFFERENT' = same basename, >1 distinct sha256 -> a reader may pick the
#   wrong copy.  'SAME' = duplicates that are byte-identical (harmless, still listed).
#   A pair that appeared AFTER a previous run will NOT be in that run's output -> re-run.
# name	sha16	bytes	mtime	path
AS1-anim-index.json	A4D896D71B2E77C3	2695127	2026-09-22 12:49:51	.ai-tmp/test/BC1-backup-prefetch/AS1-anim-index.json
AS1-anim-index.json	607A203014AFA13B	3116532	2026-09-22 13:53:35	.ai-tmp/test/AS1-anim-index.json
CR-R1-gen-list.ps1	2B5AA8AD01251173	7348	2026-09-23 09:40:29	.ai-tmp/test/_bak-CR-R1/CR-R1-gen-list.ps1
CR-R1-gen-list.ps1	83C3019C9D3B7112	7348	2026-09-23 09:45:00	.ai-tmp/test/CR-R1-gen-list.ps1
cr-r1-impact.ps1	C16B2568F9F2B3B4	7118	2026-09-23 09:40:26	.ai-tmp/test/_bak-CR-R1/cr-r1-impact.ps1
cr-r1-impact.ps1	6B2975C34F124AB9	7118	2026-09-23 09:45:00	.ai-tmp/test/cr-r1-impact.ps1
cr-r1-independent-reconcile.py	4F6B804E4F7B2041	3864	2026-09-23 09:19:44	.ai-tmp/test/_bak-CR-R1/cr-r1-independent-reconcile.py
cr-r1-independent-reconcile.py	E632031CED597777	3916	2026-09-23 09:45:00	.ai-tmp/test/cr-r1-independent-reconcile.py
cr-r1-oldnew.ps1	9CE6B5AE67BF347B	11300	2026-09-23 09:14:08	.ai-tmp/test/_bak-CR-R1/cr-r1-oldnew.ps1
cr-r1-oldnew.ps1	283421D8F554A0BF	11300	2026-09-23 09:45:00	.ai-tmp/test/cr-r1-oldnew.ps1
cr-t6-recollect.ps1	649131297E965327	3313	2026-09-23 11:38:41	tools/probes/cr-t6-recollect.ps1
cr-t6-recollect.ps1	08C31BA06F14409B	3572	2026-09-23 11:56:36	.ai-tmp/test/cr-t6-recollect.ps1
cr-v1-calib-tex_.py	08F99F68566DFC89	2904	2026-09-23 10:52:37	.ai-tmp/test/cr-v1-calib-tex_.py
cr-v1-calib-tex_.py	3DE7F65C8130BB04	14936	2026-09-23 13:25:23	tools/probes/cr-v1-calib-tex_.py
evidence-selfcheck.ps1	7091F59DF021FE8F	21872	2026-09-23 09:41:57	.ai-tmp/test/_bak-CR-R1/evidence-selfcheck.ps1
evidence-selfcheck.ps1	46BB0D1493822EB5	22983	2026-09-23 09:46:40	tools/probes/evidence-selfcheck.ps1
index.tsv	E3B0C44298FC1C14	0	2026-09-20 18:56:54	.ai-tmp/test/t5-cand/index.tsv
index.tsv	D26A12EE684E5EAD	76854	2026-09-23 12:20:30	tools/probes/assemblies/index.tsv
对照表.md	93CF5D59A77B8AE8	63927	2026-09-21 22:13:23	.ai-tmp/test/AL2-backup/对照表.md
对照表.md	522ACBD2E31E16D9	69487	2026-09-22 10:08:46	.ai-tmp/test/AO2-backup/对照表.md
差异登记.tsv	B2F752B8AF92A3C3	32378	2026-09-21 22:13:23	.ai-tmp/test/AL2-backup/差异登记.tsv
差异登记.tsv	7D775DB81EA20CDE	37645	2026-09-22 10:08:46	.ai-tmp/test/AO2-backup/差异登记.tsv
状态矩阵.tsv	BA342602D1AD885F	617238	2026-09-21 22:13:23	.ai-tmp/test/AL2-backup/状态矩阵.tsv
状态矩阵.tsv	3C76DE78ACAD9C1D	643075	2026-09-22 10:10:45	.ai-tmp/test/AO2-backup/状态矩阵.tsv
验收表.md	81BCF425C09B9593	400331	2026-09-21 22:13:26	.ai-tmp/test/AL2-backup/验收表.md
验收表.md	D795C7F5EBC9F807	432312	2026-09-22 10:10:45	.ai-tmp/test/AO2-backup/验收表.md
AS1-档位可用性.tsv	815E72728B2060FA	3153	2026-09-22 11:06:16	.ai-tmp/test/AS1-档位可用性.tsv
AS1-档位可用性.tsv	815E72728B2060FA	3153	2026-09-22 11:06:16	.ai-tmp/test/BC1-backup-prefetch/AS1-档位可用性.tsv
CR-F2-drive.cs	DF5B128E6DB3DBC1	19829	2026-09-23 12:18:57	tools/probes/CR-F2-drive.cs
CR-F2-drive.cs	DF5B128E6DB3DBC1	19829	2026-09-23 12:19:29	.ai-tmp/drivers/CR-F2-drive.cs
CR-F2-parsecheck.ps1	A58AC100F56F0EF0	778	2026-09-23 12:19:39	tools/probes/CR-F2-parsecheck.ps1
CR-F2-parsecheck.ps1	A58AC100F56F0EF0	778	2026-09-23 12:59:12	.ai-tmp/test/CR-F2-parsecheck.ps1
