SC = \u539f\u7248\u8d44\u6e90\cr-assets-png\assets\sc

  file                                   w x h        w/h
  arena_training_tex.png                 970x1018   0.953
  arena_training_tex_.png                850x1178   0.722
  level_barbarian_arena_tex.png          506x832    0.608
  level_barbarian_arena_tex_.png        1022x1554   0.658
  level_bone_arena_tex.png               852x990    0.861
  level_bone_arena_tex_.png              996x1524   0.654
  level_builder_arena_tex.png            744x1440   0.517
  level_builder_arena_tex_.png          1006x1204   0.836
  level_champion_arena_tex.png          1024x1980   0.517
  level_champion_arena_tex_.png          658x762    0.864
  level_dark_arena_tex.png              1404x1518   0.925
  level_decos_tex.png                   1024x988    1.036
  level_electric_arena_tex.png           960x1764   0.544
  level_electric_arena_tex_.png          312x998    0.313
  level_goblin_arena_tex.png             894x1762   0.507
  level_goblin_arena_tex_.png            818x1014   0.807
  level_ice_arena_tex.png                914x1022   0.894
  level_ice_arena_tex_.png               626x966    0.648
  level_jungle_arena_tex.png             936x1244   0.752
  level_jungle_arena_tex_.png            582x800    0.728
  level_legendary_arena_tex.png         1130x2036   0.555
  level_royal_arena_tex.png             1228x1952   0.629
  level_spell_arena_tex.png              728x1010   0.721
  level_spell_arena_tex_.png            1006x1628   0.618
  level_touchdown_arena_tex.png          926x1380   0.671
  level_touchdown_arena_tex_.png         244x870    0.280

  distinct widths  = 24 [244, 312, 506, 582, 626, 658, 728, 744, 818, 850, 852, 894, 914, 926, 936, 960, 970, 996, 1006, 1022, 1024, 1130, 1228, 1404]
  distinct heights = 24 [244, 312, 506, 582, 626, 658, 728, 744, 818, 850, 852, 894]
  => if widths vary, the premise 'texture width == 18 tiles' does NOT carry across arenas
