
=== f006 水带(全场宽)  x 200..1000  y 795..862 ===
  y= 795  中位(160, 188, 72)  10%(152, 176, 64)  90%(200, 196, 104)
  y= 798  中位(152, 184, 72)  10%(144, 172, 64)  90%(192, 192, 96)
  y= 801  中位(160, 188, 72)  10%(152, 172, 64)  90%(192, 196, 104)
  y= 804  中位(160, 188, 72)  10%(152, 172, 72)  90%(192, 196, 104)
  y= 807  中位(0, 128, 144)  10%(0, 124, 136)  90%(0, 128, 144)
  y= 810  中位(0, 128, 144)  10%(0, 124, 136)  90%(0, 128, 144)
  y= 813  中位(0, 128, 144)  10%(0, 124, 136)  90%(0, 132, 152)
  y= 816  中位(0, 132, 144)  10%(0, 128, 136)  90%(0, 136, 160)
  y= 819  中位(0, 132, 152)  10%(0, 128, 144)  90%(0, 140, 176)
  y= 822  中位(0, 140, 168)  10%(0, 128, 144)  90%(0, 144, 176)
  y= 825  中位(0, 148, 176)  10%(0, 132, 152)  90%(0, 160, 200)
  y= 828  中位(0, 164, 200)  10%(0, 132, 152)  90%(0, 172, 216)
  y= 831  中位(0, 168, 208)  10%(0, 132, 152)  90%(0, 176, 216)
  y= 834  中位(0, 172, 216)  10%(0, 132, 152)  90%(0, 176, 216)
  y= 837  中位(0, 172, 216)  10%(0, 132, 152)  90%(0, 176, 216)
  y= 840  中位(0, 172, 216)  10%(0, 132, 152)  90%(0, 176, 216)
  y= 843  中位(0, 172, 216)  10%(0, 136, 160)  90%(0, 176, 216)
  y= 846  中位(0, 172, 216)  10%(0, 136, 160)  90%(0, 176, 216)
  y= 849  中位(0, 172, 216)  10%(0, 136, 160)  90%(0, 176, 216)
  y= 852  中位(0, 100, 120)  10%(0, 76, 88)  90%(0, 100, 128)
  y= 855  中位(160, 188, 72)  10%(144, 176, 64)  90%(200, 196, 104)
  y= 858  中位(160, 188, 72)  10%(152, 176, 64)  90%(200, 196, 104)
  y= 861  中位(160, 188, 72)  10%(152, 176, 64)  90%(200, 196, 104)

=== f022 水带(场地内 x500..900)  x 500..900  y 520..620 ===
  y= 520  中位(160, 188, 72)  10%(152, 176, 72)  90%(192, 196, 104)
  y= 524  中位(152, 188, 72)  10%(152, 172, 64)  90%(192, 192, 96)
  y= 528  中位(160, 188, 72)  10%(152, 180, 72)  90%(200, 196, 104)
  y= 532  中位(160, 188, 72)  10%(152, 180, 64)  90%(200, 196, 104)
  y= 536  中位(160, 188, 72)  10%(152, 180, 72)  90%(200, 196, 104)
  y= 540  中位(152, 188, 72)  10%(136, 163, 60)  90%(168, 196, 80)
  y= 544  中位(137, 163, 64)  10%(104, 126, 48)  90%(160, 192, 72)
  y= 548  中位(152, 184, 72)  10%(136, 156, 64)  90%(168, 192, 80)
  y= 552  中位(160, 188, 72)  10%(152, 180, 64)  90%(200, 196, 104)
  y= 556  中位(160, 188, 72)  10%(152, 180, 64)  90%(200, 196, 104)
  y= 560  中位(152, 184, 72)  10%(144, 176, 64)  90%(192, 192, 104)
  y= 564  中位(160, 188, 72)  10%(152, 176, 72)  90%(192, 196, 104)
  y= 568  中位(160, 192, 72)  10%(152, 176, 72)  90%(192, 196, 104)
  y= 572  中位(152, 184, 72)  10%(96, 116, 48)  90%(160, 192, 80)
  y= 576  中位(144, 164, 72)  10%(120, 112, 56)  90%(152, 184, 80)
  y= 580  中位(144, 120, 80)  10%(128, 108, 64)  90%(152, 172, 96)
  y= 584  中位(144, 116, 88)  10%(104, 96, 80)  90%(160, 128, 96)
