# at	scope	A_sha256_16	B_sha256_16	A_mtime	B_mtime	changed	note
2026-09-23 12:47:18	all	324AB07E33CFA47D	A219779E9BF3FA55	2026-09-23 12:47:18	2026-09-23 10:17:08	first	first record for this scope
2026-09-23 12:47:39	f2	49F22BE3F1864DD7	845313BFA3A520E1	2026-09-23 12:47:39	2026-09-23 10:07:39	first	first record for this scope
2026-09-23 12:48:14	all	CDF06799DDBFBACD	A219779E9BF3FA55	2026-09-23 12:48:14	2026-09-23 10:17:08	A	ANCHOR CHANGED (auditable event)
2026-09-23 12:48:37	f2	B1E1BEB6FEE377BB	845313BFA3A520E1	2026-09-23 12:48:37	2026-09-23 10:07:39	A	ANCHOR CHANGED (auditable event)
2026-09-23 12:49:47	all	B109A204AA479908	A219779E9BF3FA55	2026-09-23 12:49:47	2026-09-23 10:17:08	A	ANCHOR CHANGED (side A self-rewrote: its header carries this land timestamp) -- expected; the load-bearing signal is the ENTRY delta in the transitions ledger
2026-09-23 12:50:07	f2	A856FD67C9BA82FB	845313BFA3A520E1	2026-09-23 12:50:07	2026-09-23 10:07:39	A	ANCHOR CHANGED (side A self-rewrote: its header carries this land timestamp) -- expected; the load-bearing signal is the ENTRY delta in the transitions ledger
2026-09-23 12:56:39	all	B109A204AA479908	A219779E9BF3FA55	2026-09-23 12:49:47	2026-09-23 10:17:08	none	anchors unchanged
2026-09-23 12:59:31	all	A377D92787FF5661	A219779E9BF3FA55	2026-09-23 12:59:31	2026-09-23 10:17:08	A	ANCHOR CHANGED (side A self-rewrote: its header carries this land timestamp) -- expected; the load-bearing signal is the ENTRY delta in the transitions ledger
2026-09-23 12:59:56	f2	6AB894751E329C98	845313BFA3A520E1	2026-09-23 12:59:55	2026-09-23 10:07:39	A	ANCHOR CHANGED (side A self-rewrote: its header carries this land timestamp) -- expected; the load-bearing signal is the ENTRY delta in the transitions ledger
2026-09-23 13:08:26	all	0F1685766CD29EE4	A219779E9BF3FA55	2026-09-23 13:08:26	2026-09-23 10:17:08	A	ANCHOR CHANGED (side A self-rewrote: its header carries this land timestamp) -- expected; the load-bearing signal is the ENTRY delta in the transitions ledger
2026-09-23 13:08:45	f2	5FCAC27ECCB9AB39	845313BFA3A520E1	2026-09-23 13:08:45	2026-09-23 10:07:39	A	ANCHOR CHANGED (side A self-rewrote: its header carries this land timestamp) -- expected; the load-bearing signal is the ENTRY delta in the transitions ledger
2026-09-23 13:29:16	all	3E9917FB66925871	A219779E9BF3FA55	2026-09-23 13:29:16	2026-09-23 10:17:08	A	ANCHOR CHANGED (side A self-rewrote: its header carries this land timestamp) -- expected; the load-bearing signal is the ENTRY delta in the transitions ledger
2026-09-23 13:29:33	f2	6113124EF30EE3D9	845313BFA3A520E1	2026-09-23 13:29:33	2026-09-23 10:07:39	A	ANCHOR CHANGED (side A self-rewrote: its header carries this land timestamp) -- expected; the load-bearing signal is the ENTRY delta in the transitions ledger
2026-09-23 13:59:01	all	649E4543FF1E4E90	A219779E9BF3FA55	2026-09-23 13:59:00	2026-09-23 10:17:08	SELF	ANCHOR CHANGED (this side rewrote itself: its header carries this land timestamp) -- expected on EVERY land; the load-bearing signal is the ENTRY delta in the transitions ledger, and only `B` means an external event
2026-09-23 13:59:27	f2	9666995C6DA712F3	845313BFA3A520E1	2026-09-23 13:59:27	2026-09-23 10:07:39	SELF	ANCHOR CHANGED (this side rewrote itself: its header carries this land timestamp) -- expected on EVERY land; the load-bearing signal is the ENTRY delta in the transitions ledger, and only `B` means an external event
