维度	实体	载体/路径	出处	状态数	判据类型	归属片
D10	亡语(death payload)	cover_offline_test.go:253(TestCoverDeathPayload 实测行 :277)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	冠数	cover_offline_test.go:498(TestCoverCrownCounts 实测行 :542)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	加时结束判定	battle_test.go:337(TestOvertimeThenHpRate)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	加时触发条件	cover_offline_test.go:550(TestCoverVictoryCrownsAt180Differs 实测行 :587)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	召唤(建筑周期)	cover_offline_test.go:280(TestCoverSpawnerBuilding 实测行 :311)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	圣水(elixirBar)	cover_offline_test.go:317(TestCoverElixirBoundaries 实测行 :370)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	圣水三阶段速率	core_test.go:196(TestElixirThreePhases)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	塔 HP	cover_offline_test.go:393(TestCoverTowerHpBoundaries 实测行 :441)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	塔血×三冠判定	rules.go:410(resolveDeath) / cover TestCoverCrownCounts	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	手牌轮转(hand)	cover_offline_test.go:350(TestCoverHandFullCycle 实测行 :414)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	手牌轮转: 未持牌出牌被拒	core_test.go:336 / fixtures	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	攻击	cover_offline_test.go:590(TestCoverAttackWindupAndProjectile 实测行 :616)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	攻击: 命中数算术	battle_test.go:81(TestMeleeKillsInExpectedHits)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	时间轴	cover_offline_test.go:417(TestCoverTimeBoundaries 实测行 :488)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	法术	core_test.go:409 / cover TestCoverKnockbackPushback	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	确定性	battle_test.go:399(TestDeterminism)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	索敌: 只打建筑	cover_offline_test.go:520(TestCoverOnlyBuildingsCannotSeeTroops 实测行 :566)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	索敌: 塔只打最近目标	battle_test.go:140(TestTowerShellsNearestTarget)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	索敌: 惰性王塔	battle_test.go:177(TestKingTowerInertUntilProvoked)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	胜负: 投降	battle_test.go:385(TestSurrender)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	胜负: 王塔被毁	battle_test.go:269(TestVictoryByKingDestroyed)	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D10	部署延迟	entity.go:141 / targeting.go:29	状态矩阵.tsv D10	1	脚本断言	AJ1-D10
D11	Game.Input(鼠标左键按下)	HudPanel.cs:718-732	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	Game.Input(鼠标抬起)	HudPanel.cs:738-741	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	Game.Input(鼠标拖动)	HudPanel.cs:736	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	快捷键(全局)	HudPanel.cs:670	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	拖放-弹窗开启(暂停/结算/设置)	HudPanel.cs:701-714	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	拖放-按键状态丢失	HudPanel.cs:744-749	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	拖放出牌-合法落点	PlacementIndicator.cs:178-194	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	拖放出牌-非法落点	缺：非法落点并排图	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	按钮点击-主菜单	AppFlow.cs:323	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	按钮点击-卡组编辑	DeckEditPanel.cs:591-614	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	按钮点击-弹窗	各面板	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	按钮点击-设置滑块	SettingsManager.cs:160-205	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	暂停按钮点击	HudPanel.cs:672-676	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	暂停时能否出牌	HudPanel.cs:707-714	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	滚轮-列表滚动	缺：滚轮滚动并排图	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	菜单内屏蔽(点HUD下层)	HudPanel.cs:701-714	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	触屏/多点	缺：目标平台输入方式定义	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	输入框聚焦时快捷键误触	step3 无 Input.GetKey	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	输入框输入-房间	缺：超长输入并排图	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	输入框输入-昵称	NicknamePanel.cs	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	输入框输入-登录	LoginPanel.cs	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	连点防重入-回主菜单	AppFlow.cs:224-228	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	连点防重入-登录	AppFlow.cs:543-547	状态矩阵.tsv D11	1	注入断言	AG1-D11
D11	连点防重入-进图	AppFlow.cs:177-189	状态矩阵.tsv D11	1	注入断言	AG1-D11
D12	Battle→Battle(重连)	AppFlow.cs:200-207	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Battle→Pause	AppFlow.cs:528-533	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Battle→Result	缺：Module/Battle 结算实现	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Boot→Login(开发态)	AppFlow.cs:464-471	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Boot→Login(经Main场景)	AppFlow.cs:419-489	状态矩阵.tsv D12	1	状态机断言	AG1-D12
D12	Boot→Login(非预期)	AppFlow.cs:449-457	状态矩阵.tsv D12	1	状态机断言	AG1-D12
