维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
D10	亡语(death payload)	死亡触发	死亡时范围伤害 + 召唤	亡语范围伤害 + 死亡召唤同队 (参考规格§5 亡语)	bomb 亡语 300 伤 2.0格内敌; 召唤 2 骷髅	一致	cover_offline_test.go:253(TestCoverDeathPayload 实测行 :277)
D10	冠数	计数	0:0 / 1:1 / 2:2 / 3:0	冠数本身不结束对局; 王塔倒下⇒3冠 (参考规格§3)	0:0→1:1→2:2 均未结束; 0:0 起王塔倒⇒3:0	一致	cover_offline_test.go:498(TestCoverCrownCounts 实测行 :542)
D10	加时结束判定	胜负判定	300s 平冠	比塔 HP 万分比; 全平⇒draw (参考规格§3 ③④)	HpRateA=10000/HpRateB=8653 winner=blue reason=time_up_hp; 全平⇒draw	一致	battle_test.go:337(TestOvertimeThenHpRate)
D10	加时触发条件	胜负判定	180s 冠数不同 vs 平冠	不同⇒立即 time_up_crowns; 平冠⇒进加时 (参考规格§3)	1-0@180 ⇒ ended reason=time_up_crowns winner=blue phase=2	一致	cover_offline_test.go:550(TestCoverVictoryCrownsAt180Differs 实测行 :587)
D10	召唤(建筑周期)	周期召唤	间隔1000ms / 上限3	按间隔召唤至 SpawnLimit 后停 (参考规格§5 建筑)	3.5s 内 spawn 3 个; spawnedCount 停在 3 (存活数可能因进军被塔击杀而下降)	一致	cover_offline_test.go:280(TestCoverSpawnerBuilding 实测行 :311)
D10	圣水(elixirBar)	再生/花费	0 / 9 / 10 / 超上限(20000) / 负(-500)	上限10、满则不攒零头、9付不起10、0只付免费 (参考规格§3: 起始6/上限10)	clamp 20000→10000; -500→0; 满再生成 10000/acc0; 9 afford(9)=T afford(10)=F; 0 仅 afford(0)	一致	cover_offline_test.go:317(TestCoverElixirBoundaries 实测行 :370)
D10	圣水三阶段速率	再生速率	0–120s/120–240s/240–300s	2800/1400/930 ms每点, 时间轴累计不重置 (参考规格§3)	120s=42857, 240s=128571, 300s=193087 milli	一致	core_test.go:196(TestElixirThreePhases)
D10	塔 HP	伤害漏斗	HP=1 受 0/负 伤害; HP=1 受 1 点	0/负不死; 恰好1点死并给对手1冠 (参考规格§3)	hp1 存活于 0/-5; 受1点→hp0/alive=false; crowns+1	一致	cover_offline_test.go:393(TestCoverTowerHpBoundaries 实测行 :441)
D10	塔血×三冠判定	数值×逻辑	公主塔 HP 3584 倒下	公主塔倒⇒对手+1冠; 王塔倒⇒对手=3冠 (参考规格§3)	公主塔倒 crowns+1; 王塔倒 crowns=3	一致	rules.go:410(resolveDeath) / cover TestCoverCrownCounts
D10	手牌轮转(hand)	循环	4张手牌→第5~8张→回到起点	8卡循环: 4手牌+下一张; 8次出牌后手牌与"下一张"复原 (参考规格§7 S11)	8次出牌后 hand=[2 4 7 8]==开局, next=1==开局	一致	cover_offline_test.go:350(TestCoverHandFullCycle 实测行 :414)
D10	手牌轮转: 未持牌出牌被拒	异常分支	出不在手牌的卡	拒绝且不消耗 (core 无 logger ⇒ 返回 error)	err=ErrCardNotInHand; 手牌不变	一致	core_test.go:336 / fixtures
D10	攻击	前摇/间隔	LoadTime=500 / HitSpeed=1000	首次 LoadTime 前摇, 之后 HitSpeed 间隔 (参考规格§5 攻击)	<500ms 无挥击; 500ms swings=1; 1500ms swings=2	一致	cover_offline_test.go:590(TestCoverAttackWindupAndProjectile 实测行 :616)
D10	攻击: 命中数算术	数值×逻辑	伤害公式×命中	ceil(HP/Damage) 次致死 (Knight 1766/202=9)	9 次挥击致死; 8 次(1616)<1766 不足; 塔 14 次杀 1766HP	一致	battle_test.go:81(TestMeleeKillsInExpectedHits)
D10	时间轴	胜负判定	179 / 180 / 181 / 299 / 300 / 301 s	平冠: 180 进加时、300 结束; 结束后再推进无效 (参考规格§3)	179 normal(未结束); 180 overtime; 181/299 未结束; 300 draw; 301 tick 不变	一致	cover_offline_test.go:417(TestCoverTimeBoundaries 实测行 :488)
D10	法术	效果	瞬伤/持续/击退/召唤	瞬伤范围、持续云、击退、召唤各支路 (参考规格§5 法术)	瞬伤 688 命中、pushback 生效、法术可过河	一致	core_test.go:409 / cover TestCoverKnockbackPushback
D10	确定性	重放	同种子同操作序列	两次运行快照逐字段相同 (project 约定)	900 tick 后 Snapshot 完全相同	一致	battle_test.go:399(TestDeterminism)
D10	索敌: 只打建筑	目标过滤	建筑目标兵 vs 部队	OnlyBuildings 看不见部队, 能看塔 (参考规格§5 索敌)	canTarget(巨人,骑士)=false; canTarget(巨人,塔)=true	一致	cover_offline_test.go:520(TestCoverOnlyBuildingsCannotSeeTroops 实测行 :566)
D10	索敌: 塔只打最近目标	目标选择	范围内近/远两敌	只打最近敌方单位 (参考规格§5)	target=near.ID; far 未受伤	一致	battle_test.go:140(TestTowerShellsNearestTarget)
D10	索敌: 惰性王塔	攻击开关	未激活王塔 + 视野内有敌	未激活不攻击; 被激(公主塔倒/自身被打)后恰3300ms激活 (参考规格§4.1)	king.swings=0(未激); 激后 delta=3300ms	一致	battle_test.go:177(TestKingTowerInertUntilProvoked)
D10	胜负: 投降	胜负判定	Surrender(team)	立即结束、对方胜; 二次投降无效 (参考规格§3)	winner=blue reason=surrender; 二次不改	一致	battle_test.go:385(TestSurrender)
D10	胜负: 王塔被毁	胜负判定	任一王塔倒下	立即结束、对手3冠 (参考规格§3 ①)	reason=king_destroyed winner=blue crowns 3/0 phase=2	一致	battle_test.go:269(TestVictoryByKingDestroyed)
D10	部署延迟	可选性	部署中单位	部署中不可被选中/不行动 (参考规格§5 部署延迟)	acquirable()=false while deploying	一致	entity.go:141 / targeting.go:29
D11	Game.Input(鼠标左键按下)	对局/HUD手牌	按下手牌槽	开始拖放:命中槽位则 BeginDrag	HitTestHand 命中则 BeginDrag；未命中 return	一致(脚本)	HudPanel.cs:718-732
D11	Game.Input(鼠标抬起)	对局/HUD手牌	抬起	EndDrag 发 C2S 出牌请求	GetMouseButtonUp(0)→EndDrag	一致(脚本)	HudPanel.cs:738-741
D11	Game.Input(鼠标拖动)	对局/HUD手牌	拖动中	幽灵卡跟手 MoveGhost	MoveGhost(screen) 每帧	一致(脚本)	HudPanel.cs:736
D11	快捷键(全局)	全上下文	按键	本项目不挂裸快捷键	无 UnityEngine.Input.GetKey 命中；契约要求输入走 Game.Input	一致(脚本)	HudPanel.cs:670；全仓扫描(step3)
D11	拖放-弹窗开启(暂停/结算/设置)	对局+弹窗	弹窗打开	一律不许拖放出牌(轮询挡不住遮罩)	显式挡 IsOpen<Pause/Result/Settings>；拖到一半则 CancelDrag	一致(脚本)	HudPanel.cs:701-714
D11	拖放-按键状态丢失	对局	抬起事件丢失	CancelDrag 收尾防幽灵卡	!GetMouseButton(0) 时 CancelDrag	一致(脚本)	HudPanel.cs:744-749
D11	拖放出牌-合法落点	对局	落点在合法格	指示器显示可放置+出牌成功	PlacementIndicator 判点(InsideCircle/桥区)	一致(脚本)	PlacementIndicator.cs:178-194
D11	拖放出牌-非法落点	对局	落点非法	出牌被拒/指示器红色	实测：非法落点(y=13 敌方半场) → 运行时播 BadDrop 音 + 日志"放下落点非法 ⇒ 播无效投放音"；代码 PlacementIndicator.IllegalColor=(0.95,0.25,0.20,0.35) 红 / LegalColor 绿，Show(tile,radius,legal) 按合法性取色	一致	22:11:45.630 BadDrop/bad_drop_03；22:11:45.631 [HudPanel] 放下落点非法；PlacementIndicator.cs:32,35,85（⚠️ 未截到拖放"中"的红圈，拖放瞬时完成）
D11	按钮点击-主菜单	主菜单	点人机对战	Emit AiBattleRequest→开始	MainMenuPanel CbBtn→事件	一致(脚本)	AppFlow.cs:323；MainMenuPanel
D11	按钮点击-卡组编辑	卡组	点卡池加卡/减卡	选中态切换	_selected 逻辑；**入口链（AM1b，2026-09-22）**：第 2 次及以后 Play 主菜单「卡组编辑」仍可打开（`listeners[Deck.OpenRequest]=1` / `deckOpen=True` / `DeckBox 1000x1518`，`.ai-tmp/test/AM1b-report.md` §3）⇒ 本行「点卡池加卡/减卡」可达；根因 D109 已消除	一致(脚本)	DeckEditPanel.cs:591-614
D11	按钮点击-弹窗	弹窗	点确认/取消	面板响应	Pause/Result/Settings CbBtn	一致(脚本)	各面板
D11	按钮点击-设置滑块	设置	拖动滑块	Emit Settings.*Request→真改	SettingsManager 订阅并应用	一致(脚本)	SettingsManager.cs:160-205
D11	暂停按钮点击	对局HUD	点暂停	Emit StationEnterRequest→Pause	OnPauseClicked→Emit(Events.Flow.StationEnterRequest,Stations.Pause)	一致(脚本)	HudPanel.cs:672-676
D11	暂停时能否出牌	暂停	暂停面板打开	不能出牌	PollDrag 在 PausePanel 打开时 return	一致(脚本)	HudPanel.cs:707-714
